          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

             Nsrf2   68    0.923 (0.0161)    0.919 -0.006 (0.0151)    0.933 -0.016 (0.0148)
              Nqtz   69    0.923 (0.0157)    0.921 -0.003 (0.0155)    0.928 -0.008 (0.0153)
             cn182   70    0.993 (0.0322)    0.976 -0.025 (0.0274)    1.030 -0.063 (0.0262)
             cn270   71    0.837 (0.0050)    0.853  0.024 (0.0040)    0.801  0.060 (0.0048)
            Oclear   72    0.488 (0.0751)    0.659  0.257 (0.0059)    0.103  0.641 (0.0180)
         Oclear-lp   73    0.404 (0.0637)    0.545  0.212 (0.0021)    0.087  0.529 (0.0114)
             [OII]   74    0.410 (0.0813)    0.571  0.242 (0.0114)    0.047  0.604 (0.0015)
            [OIII]   75    0.548 (0.0864)    0.750  0.303 (0.0113)    0.094  0.757 (0.0255)
 2MASS          J    76    0.256 (0.0565)    0.375  0.178 (0.0036)   -0.010  0.444 (0.0049)
 2MASS          H    77    0.186 (0.0518)    0.289  0.155 (0.0069)   -0.047  0.388 (0.0006)
 2MASS          Ks   78    0.158 (0.0413)    0.241  0.124 (0.0052)   -0.028  0.310 (0.0008)
 SWASP               79    0.516 (0.0834)    0.708  0.289 (0.0088)    0.083  0.722 (0.0224)
 MOST                80    0.508 (0.0814)    0.695  0.281 (0.0083)    0.085  0.703 (0.0215)
 GAIA (2006)    G    81    0.492 (0.0794)    0.674  0.273 (0.0071)    0.083  0.682 (0.0200)
 GAIA (2010)    G    82    0.475 (0.0763)    0.649  0.261 (0.0061)    0.084  0.652 (0.0183)
 GAIA (2010)    BP   83    0.520 (0.0842)    0.715  0.291 (0.0088)    0.083  0.728 (0.0225)
 GAIA (2010)    RP   84    0.361 (0.0590)    0.489  0.192 (0.0015)    0.073  0.480 (0.0083)
 GAIA (2010)  G_RV   85    0.296 (0.0517)    0.403  0.160 (0.0045)    0.056  0.400 (0.0032)
 Milone        230   86    0.941 (0.0131)    0.950  0.013 (0.0163)    0.920  0.034 (0.0169)
               250   87    0.893 (0.0061)    0.902  0.015 (0.0090)    0.870  0.037 (0.0096)
               270   88    0.834 (0.0052)    0.850  0.024 (0.0037)    0.798  0.061 (0.0045)
               290   89    0.769 (0.0135)    0.799  0.045 (0.0020)    0.701  0.113 (0.0021)
               310   90    0.702 (0.0209)    0.745  0.063 (0.0032)    0.607  0.158 (0.0006)
               330   91    0.637 (0.0283)    0.694  0.085 (0.0040)    0.509  0.213 (0.0004)
 CaII triplet  858   92    0.296 (0.0493)    0.398  0.152 (0.0049)    0.069  0.380 (0.0025)
 WIRE  Johnson V+R   93    0.459 (0.0704)    0.619  0.240 (0.0048)    0.100  0.599 (0.0159)
               LUT   94    0.741 (0.0231)    0.796  0.082 (0.0028)    0.619  0.204 (0.0060)
              TESS   95    0.379 (0.0613)    0.513  0.202 (0.0014)    0.077  0.504 (0.0098)


          Teff = 8250 K,  log g = 5.0,  [M/H] = -5.0

 bolometric           0    0.497 (0.0815)    0.673  0.263 (0.0029)    0.103  0.658 (0.0138)
 Stromgren      u     1    0.531 (0.0852)    0.723  0.289 (0.0076)    0.097  0.722 (0.0214)
                v     2    0.517 (0.1181)    0.769  0.378 (0.0038)   -0.051  0.946 (0.0177)
                b     3    0.514 (0.1044)    0.737  0.336 (0.0031)    0.010  0.840 (0.0165)
                y     4    0.446 (0.0980)    0.654  0.312 (0.0037)   -0.022  0.780 (0.0143)
 Johnson        U     5    0.485 (0.1031)    0.707  0.334 (0.0023)   -0.016  0.834 (0.0169)
                B     6    0.505 (0.1129)    0.746  0.361 (0.0037)   -0.038  0.904 (0.0168)
                V     7    0.446 (0.0981)    0.654  0.312 (0.0037)   -0.023  0.781 (0.0143)
                R     8    0.358 (0.0891)    0.546  0.283 (0.0034)   -0.067  0.708 (0.0126)
                I     9    0.280 (0.0795)    0.449  0.252 (0.0030)   -0.098  0.630 (0.0108)
                J    10    0.219 (0.0748)    0.373  0.231 (0.0054)   -0.127  0.577 (0.0071)
                K    11    0.145 (0.0544)    0.257  0.168 (0.0041)   -0.107  0.419 (0.0045)
                L    12    0.117 (0.0274)    0.176  0.088 (0.0012)   -0.015  0.221 (0.0034)
                M    13    0.088 (0.0137)    0.116  0.041 (0.0021)    0.026  0.103 (0.0005)
                N    14    0.040 (0.0079)    0.054  0.021 (0.0024)    0.008  0.053 (0.0014)
 Cousins        Rc   15    0.375 (0.0912)    0.567  0.289 (0.0036)   -0.060  0.724 (0.0129)
                Ic   16    0.305 (0.0814)    0.478  0.259 (0.0028)   -0.083  0.648 (0.0117)
 Bessell        UX   17    0.496 (0.1005)    0.714  0.327 (0.0027)    0.005  0.818 (0.0177)
 Bessell        BX   18    0.505 (0.1125)    0.745  0.360 (0.0037)   -0.035  0.900 (0.0168)
 Bessell        B    19    0.505 (0.1129)    0.746  0.361 (0.0037)   -0.037  0.904 (0.0168)
 Bessell        V    20    0.445 (0.0980)    0.654  0.312 (0.0037)   -0.023  0.780 (0.0143)
 Bessell        R    21    0.374 (0.0911)    0.567  0.289 (0.0036)   -0.060  0.723 (0.0129)
 Bessell        I    22    0.299 (0.0805)    0.469  0.256 (0.0028)   -0.086  0.641 (0.0114)
 Tycho         TyB   23    0.505 (0.1156)    0.751  0.369 (0.0039)   -0.049  0.923 (0.0169)
               TyV   24    0.453 (0.1009)    0.667  0.321 (0.0038)   -0.029  0.803 (0.0146)
 Hipparchos    HIP   25    0.469 (0.1049)    0.692  0.335 (0.0036)   -0.034  0.838 (0.0155)
 KEPLER              26    0.416 (0.0960)    0.620  0.306 (0.0034)   -0.042  0.765 (0.0140)
 COROT SIS           27    0.419 (0.0972)    0.625  0.310 (0.0034)   -0.046  0.775 (0.0141)
 COROT EXO           28    0.415 (0.0966)    0.620  0.308 (0.0034)   -0.047  0.770 (0.0140)
 Geneva         U    29    0.531 (0.0866)    0.726  0.292 (0.0070)    0.094  0.730 (0.0209)
                B    30    0.504 (0.1161)    0.751  0.371 (0.0041)   -0.052  0.927 (0.0168)
                B1   31    0.490 (0.1225)    0.749  0.388 (0.0053)   -0.092  0.971 (0.0163)
                B2   32    0.516 (0.1088)    0.749  0.350 (0.0032)   -0.009  0.875 (0.0170)
                V    33    0.447 (0.0978)    0.655  0.312 (0.0037)   -0.020  0.779 (0.0143)
                V1   34    0.453 (0.0983)    0.662  0.313 (0.0037)   -0.017  0.783 (0.0144)
                G    35    0.420 (0.0955)    0.622  0.303 (0.0038)   -0.035  0.759 (0.0137)
 Vilnius        U    36    0.537 (0.0863)    0.732  0.292 (0.0076)    0.099  0.730 (0.0215)
                P    37    0.449 (0.1082)    0.678  0.343 (0.0039)   -0.066  0.859 (0.0141)
                X    38    0.502 (0.1222)    0.761  0.389 (0.0048)   -0.081  0.972 (0.0171)
                Y    39    0.513 (0.1045)    0.737  0.336 (0.0031)    0.009  0.840 (0.0165)
                Z    40    0.472 (0.0997)    0.684  0.318 (0.0037)   -0.005  0.795 (0.0147)
                V    41    0.448 (0.0981)    0.656  0.313 (0.0037)   -0.021  0.781 (0.0143)
                S    42    0.338 (0.0905)    0.529  0.287 (0.0035)   -0.093  0.718 (0.0125)
 Milone         iz   43    0.254 (0.0767)    0.414  0.240 (0.0041)   -0.107  0.601 (0.0091)
                iJ   44    0.213 (0.0744)    0.366  0.230 (0.0056)   -0.131  0.574 (0.0069)
                iH   45    0.162 (0.0672)    0.296  0.201 (0.0079)   -0.140  0.504 (0.0032)
                iK   46    0.142 (0.0525)    0.251  0.162 (0.0038)   -0.101  0.406 (0.0046)
 YMS94         iz    47    0.254 (0.0768)    0.414  0.240 (0.0041)   -0.107  0.601 (0.0091)
               iJ    48    0.213 (0.0744)    0.366  0.230 (0.0056)   -0.131  0.574 (0.0069)
               iH    49    0.162 (0.0672)    0.296  0.202 (0.0079)   -0.140  0.504 (0.0032)
               iK    50    0.142 (0.0525)    0.250  0.162 (0.0038)   -0.101  0.406 (0.0046)
               iL    51    0.113 (0.0242)    0.165  0.078 (0.0012)   -0.005  0.196 (0.0031)
               iLp   52    0.105 (0.0201)    0.147  0.064 (0.0015)    0.009  0.159 (0.0019)
               iM    53    0.077 (0.0138)    0.104  0.041 (0.0022)    0.015  0.103 (0.0005)
               in    54    0.040 (0.0081)    0.055  0.022 (0.0023)    0.008  0.055 (0.0012)
               iN    55    0.036 (0.0075)    0.049  0.019 (0.0025)    0.007  0.049 (0.0016)
 Sloan DSS      u    56    0.510 (0.0941)    0.717  0.311 (0.0043)    0.044  0.777 (0.0189)
                g    57    0.491 (0.1066)    0.719  0.341 (0.0035)   -0.021  0.854 (0.0161)
                r    58    0.388 (0.0928)    0.584  0.295 (0.0037)   -0.054  0.737 (0.0132)
                i    59    0.317 (0.0832)    0.493  0.265 (0.0030)   -0.080  0.662 (0.0120)
                z    60    0.261 (0.0780)    0.426  0.247 (0.0032)   -0.108  0.616 (0.0101)
 HST STIS Ly_alpha   61    1.019 (0.0456)    0.927 -0.137 (0.0055)    1.224 -0.343 (0.0019)
            Fclear   62    1.161 (0.1185)    0.906 -0.383 (0.0016)    1.735 -0.957 (0.0182)
             Fsrf2   63    1.156 (0.1149)    0.911 -0.368 (0.0024)    1.708 -0.920 (0.0162)
              Fqtz   64    1.121 (0.0928)    0.936 -0.278 (0.0099)    1.539 -0.696 (0.0057)
              CIII   65    0.911 (0.0185)    0.959  0.073 (0.0109)    0.802  0.181 (0.0144)
              MgII   66    0.658 (0.0894)    0.852  0.292 (0.0064)    0.220  0.730 (0.0192)
            Nclear   67    0.797 (0.0487)    0.907  0.165 (0.0068)    0.550  0.412 (0.0144)
             Nsrf2   68    0.796 (0.0491)    0.907  0.166 (0.0068)    0.547  0.415 (0.0145)
              Nqtz   69    0.797 (0.0495)    0.909  0.168 (0.0070)    0.545  0.420 (0.0147)
             cn182   70    0.909 (0.0139)    0.946  0.056 (0.0114)    0.825  0.140 (0.0141)
             cn270   71    0.688 (0.0846)    0.871  0.275 (0.0061)    0.275  0.688 (0.0179)
            Oclear   72    0.423 (0.0964)    0.629  0.308 (0.0033)   -0.039  0.770 (0.0143)
         Oclear-lp   73    0.345 (0.0876)    0.531  0.278 (0.0034)   -0.072  0.695 (0.0123)
             [OII]   74    0.400 (0.0992)    0.604  0.307 (0.0071)   -0.062  0.769 (0.0084)
            [OIII]   75    0.482 (0.1021)    0.701  0.328 (0.0032)   -0.009  0.819 (0.0157)
 2MASS          J    76    0.217 (0.0746)    0.371  0.230 (0.0055)   -0.128  0.575 (0.0070)
 2MASS          H    77    0.163 (0.0675)    0.298  0.203 (0.0078)   -0.141  0.506 (0.0034)
 2MASS          Ks   78    0.146 (0.0542)    0.257  0.167 (0.0041)   -0.105  0.418 (0.0046)
 SWASP               79    0.450 (0.1008)    0.664  0.322 (0.0035)   -0.033  0.805 (0.0149)
 MOST                80    0.442 (0.0995)    0.653  0.317 (0.0035)   -0.035  0.794 (0.0147)
 GAIA (2006)    G    81    0.428 (0.0981)    0.636  0.313 (0.0034)   -0.042  0.783 (0.0144)
 GAIA (2010)    G    82    0.411 (0.0959)    0.615  0.306 (0.0034)   -0.047  0.765 (0.0140)
 GAIA (2010)    BP   83    0.455 (0.1018)    0.671  0.325 (0.0035)   -0.033  0.813 (0.0151)
 GAIA (2010)    RP   84    0.309 (0.0834)    0.486  0.265 (0.0031)   -0.088  0.662 (0.0116)
 GAIA (2010)  G_RV   85    0.269 (0.0734)    0.424  0.234 (0.0024)   -0.082  0.584 (0.0100)
 Milone        230   86    0.805 (0.0559)    0.927  0.183 (0.0056)    0.531  0.457 (0.0132)
               250   87    0.741 (0.0739)    0.900  0.239 (0.0058)    0.383  0.597 (0.0154)
               270   88    0.685 (0.0851)    0.870  0.277 (0.0061)    0.270  0.692 (0.0180)
               290   89    0.636 (0.0916)    0.837  0.302 (0.0067)    0.183  0.754 (0.0203)
               310   90    0.596 (0.0921)    0.800  0.306 (0.0072)    0.136  0.766 (0.0215)
               330   91    0.560 (0.0896)    0.761  0.302 (0.0077)    0.108  0.754 (0.0220)
 CaII triplet  858   92    0.271 (0.0716)    0.423  0.228 (0.0021)   -0.071  0.571 (0.0099)
 WIRE  Johnson V+R   93    0.395 (0.0929)    0.591  0.295 (0.0035)   -0.048  0.738 (0.0133)
               LUT   94    0.625 (0.0882)    0.818  0.289 (0.0055)    0.191  0.724 (0.0186)
              TESS   95    0.324 (0.0852)    0.504  0.270 (0.0033)   -0.081  0.676 (0.0118)


          Teff = 8500 K,  log g = 1.5,  [M/H] = -5.0

 bolometric           0    0.589 (0.0290)    0.644  0.084 (0.0049)    0.463  0.209 (0.0019)
 Stromgren      u     1    0.472 (0.0380)    0.542  0.106 (0.0094)    0.313  0.264 (0.0043)
                v     2    0.591 (0.0643)    0.740  0.224 (0.0124)    0.255  0.560 (0.0230)
                b     3    0.547 (0.0730)    0.711  0.247 (0.0080)    0.177  0.617 (0.0196)
                y     4    0.483 (0.0798)    0.655  0.258 (0.0019)    0.096  0.645 (0.0129)
 Johnson        U     5    0.556 (0.0532)    0.677  0.180 (0.0058)    0.286  0.451 (0.0144)
                B     6    0.571 (0.0678)    0.726  0.233 (0.0103)    0.221  0.582 (0.0213)
                V     7    0.485 (0.0793)    0.656  0.257 (0.0020)    0.100  0.642 (0.0130)
                R     8    0.398 (0.0819)    0.566  0.251 (0.0081)    0.022  0.628 (0.0041)
                I     9    0.321 (0.0893)    0.496  0.262 (0.0149)   -0.072  0.655 (0.0023)
                J    10    0.258 (0.0896)    0.428  0.254 (0.0198)   -0.122  0.634 (0.0076)
                K    11    0.165 (0.0762)    0.299  0.202 (0.0238)   -0.138  0.504 (0.0143)
                L    12    0.113 (0.0599)    0.214  0.152 (0.0219)   -0.114  0.379 (0.0148)
                M    13    0.085 (0.0487)    0.165  0.120 (0.0192)   -0.095  0.300 (0.0135)
                N    14    0.047 (0.0302)    0.095  0.072 (0.0130)   -0.061  0.180 (0.0096)
 Cousins        Rc   15    0.416 (0.0818)    0.585  0.254 (0.0065)    0.036  0.634 (0.0058)
                Ic   16    0.330 (0.0823)    0.491  0.242 (0.0140)   -0.033  0.604 (0.0024)
 Bessell        UX   17    0.551 (0.0510)    0.665  0.171 (0.0043)    0.294  0.428 (0.0124)
 Bessell        BX   18    0.569 (0.0681)    0.725  0.234 (0.0102)    0.219  0.584 (0.0212)
 Bessell        B    19    0.571 (0.0678)    0.726  0.233 (0.0103)    0.221  0.582 (0.0213)
 Bessell        V    20    0.484 (0.0793)    0.655  0.257 (0.0019)    0.099  0.642 (0.0130)
 Bessell        R    21    0.416 (0.0818)    0.585  0.253 (0.0065)    0.036  0.634 (0.0058)
 Bessell        I    22    0.327 (0.0846)    0.493  0.249 (0.0142)   -0.045  0.621 (0.0023)
 Tycho         TyB   23    0.581 (0.0654)    0.732  0.227 (0.0113)    0.241  0.566 (0.0221)
               TyV   24    0.499 (0.0778)    0.669  0.254 (0.0030)    0.118  0.636 (0.0145)
 Hipparchos    HIP   25    0.528 (0.0724)    0.689  0.242 (0.0058)    0.166  0.604 (0.0171)
 KEPLER              26    0.464 (0.0784)    0.631  0.251 (0.0020)    0.087  0.628 (0.0109)
 COROT SIS           27    0.473 (0.0769)    0.638  0.248 (0.0016)    0.101  0.620 (0.0117)
 COROT EXO           28    0.468 (0.0773)    0.634  0.248 (0.0017)    0.096  0.621 (0.0113)
 Geneva         U    29    0.492 (0.0388)    0.567  0.112 (0.0073)    0.324  0.280 (0.0019)
                B    30    0.582 (0.0655)    0.733  0.227 (0.0114)    0.241  0.568 (0.0222)
                B1   31    0.595 (0.0624)    0.740  0.218 (0.0127)    0.267  0.546 (0.0231)
                B2   32    0.562 (0.0701)    0.722  0.239 (0.0095)    0.203  0.598 (0.0209)
                V    33    0.485 (0.0794)    0.656  0.257 (0.0019)    0.099  0.643 (0.0130)
                V1   34    0.490 (0.0792)    0.661  0.257 (0.0022)    0.104  0.643 (0.0136)
                G    35    0.459 (0.0811)    0.631  0.258 (0.0028)    0.071  0.645 (0.0102)
 Vilnius        U    36    0.483 (0.0361)    0.550  0.100 (0.0092)    0.334  0.249 (0.0044)
                P    37    0.568 (0.0570)    0.699  0.196 (0.0084)    0.274  0.491 (0.0178)
                X    38    0.595 (0.0630)    0.742  0.221 (0.0128)    0.264  0.551 (0.0233)
                Y    39    0.547 (0.0728)    0.711  0.246 (0.0080)    0.178  0.615 (0.0196)
                Z    40    0.507 (0.0777)    0.677  0.255 (0.0037)    0.124  0.638 (0.0154)
                V    41    0.485 (0.0796)    0.657  0.258 (0.0020)    0.098  0.645 (0.0131)
                S    42    0.402 (0.0813)    0.569  0.249 (0.0079)    0.028  0.624 (0.0042)
 Milone         iz   43    0.299 (0.0943)    0.481  0.274 (0.0170)   -0.112  0.685 (0.0038)
                iJ   44    0.251 (0.0889)    0.418  0.250 (0.0203)   -0.124  0.626 (0.0084)
                iH   45    0.203 (0.0883)    0.362  0.239 (0.0245)   -0.156  0.598 (0.0131)
                iK   46    0.161 (0.0748)    0.292  0.197 (0.0235)   -0.135  0.493 (0.0142)
 YMS94         iz    47    0.299 (0.0943)    0.481  0.274 (0.0170)   -0.112  0.685 (0.0038)
               iJ    48    0.251 (0.0889)    0.418  0.250 (0.0203)   -0.124  0.626 (0.0084)
               iH    49    0.203 (0.0883)    0.362  0.239 (0.0245)   -0.156  0.598 (0.0131)
               iK    50    0.161 (0.0747)    0.292  0.197 (0.0235)   -0.135  0.493 (0.0142)
               iL    51    0.105 (0.0576)    0.201  0.144 (0.0218)   -0.111  0.360 (0.0151)
               iLp   52    0.100 (0.0555)    0.192  0.138 (0.0214)   -0.107  0.345 (0.0149)
               iM    53    0.084 (0.0495)    0.164  0.121 (0.0199)   -0.098  0.303 (0.0142)
               in    54    0.048 (0.0303)    0.096  0.072 (0.0131)   -0.060  0.181 (0.0098)
               iN    55    0.043 (0.0282)    0.088  0.068 (0.0122)   -0.059  0.169 (0.0090)
 Sloan DSS      u    56    0.532 (0.0458)    0.631  0.148 (0.0009)    0.310  0.370 (0.0072)
                g    57    0.542 (0.0724)    0.705  0.244 (0.0073)    0.177  0.610 (0.0188)
                r    58    0.431 (0.0817)    0.601  0.255 (0.0052)    0.048  0.638 (0.0072)
                i    59    0.344 (0.0819)    0.506  0.243 (0.0128)   -0.020  0.607 (0.0012)
                z    60    0.316 (0.0952)    0.502  0.279 (0.0157)   -0.103  0.699 (0.0022)
 HST STIS Ly_alpha   61    1.419 (0.2950)    0.708 -1.066 (0.0542)    3.018 -2.666 (0.1042)
            Fclear   62    1.392 (0.2771)    0.739 -0.979 (0.0413)    2.860 -2.448 (0.0878)
             Fsrf2   63    1.374 (0.2675)    0.748 -0.939 (0.0371)    2.782 -2.347 (0.0818)
              Fqtz   64    1.296 (0.2269)    0.779 -0.775 (0.0210)    2.458 -1.938 (0.0582)
              CIII   65    1.137 (0.1456)    0.815 -0.483 (0.0051)    1.862 -1.208 (0.0276)
              MgII   66    0.718 (0.0083)    0.695 -0.034 (0.0062)    0.768 -0.084 (0.0078)
            Nclear   67    1.016 (0.1094)    0.766 -0.375 (0.0099)    1.578 -0.937 (0.0276)
             Nsrf2   68    1.002 (0.1029)    0.769 -0.350 (0.0083)    1.527 -0.875 (0.0248)
              Nqtz   69    0.993 (0.0985)    0.770 -0.334 (0.0072)    1.494 -0.835 (0.0230)
             cn182   70    1.148 (0.1571)    0.796 -0.528 (0.0093)    1.941 -1.321 (0.0344)
             cn270   71    0.773 (0.0205)    0.723 -0.076 (0.0056)    0.888 -0.191 (0.0092)
            Oclear   72    0.476 (0.0744)    0.636  0.239 (0.0017)    0.118  0.598 (0.0109)
         Oclear-lp   73    0.387 (0.0838)    0.557  0.255 (0.0091)    0.004  0.638 (0.0033)
             [OII]   74    0.576 (0.0586)    0.711  0.202 (0.0089)    0.273  0.505 (0.0185)
            [OIII]   75    0.518 (0.0765)    0.687  0.253 (0.0048)    0.139  0.632 (0.0165)
 2MASS          J    76    0.254 (0.0892)    0.422  0.252 (0.0201)   -0.124  0.629 (0.0080)
 2MASS          H    77    0.201 (0.0877)    0.359  0.237 (0.0246)   -0.155  0.593 (0.0132)
 2MASS          Ks   78    0.164 (0.0757)    0.298  0.201 (0.0236)   -0.137  0.501 (0.0141)
 SWASP               79    0.501 (0.0758)    0.666  0.248 (0.0031)    0.128  0.621 (0.0145)
 MOST                80    0.491 (0.0765)    0.657  0.249 (0.0023)    0.117  0.623 (0.0136)
 GAIA (2006)    G    81    0.481 (0.0761)    0.646  0.247 (0.0017)    0.111  0.616 (0.0125)
 GAIA (2010)    G    82    0.463 (0.0776)    0.629  0.249 (0.0020)    0.091  0.621 (0.0108)
 GAIA (2010)    BP   83    0.509 (0.0744)    0.672  0.245 (0.0037)    0.141  0.612 (0.0150)
 GAIA (2010)    RP   84    0.349 (0.0851)    0.518  0.253 (0.0125)   -0.031  0.633 (0.0004)
 GAIA (2010)  G_RV   85    0.311 (0.0975)    0.502  0.286 (0.0161)   -0.118  0.715 (0.0024)
 Milone        230   86    0.980 (0.0812)    0.798 -0.273 (0.0044)    1.389 -0.682 (0.0168)
               250   87    0.872 (0.0468)    0.765 -0.161 (0.0047)    1.114 -0.404 (0.0121)
               270   88    0.769 (0.0193)    0.721 -0.072 (0.0056)    0.877 -0.180 (0.0090)
               290   89    0.676 (0.0057)    0.672 -0.005 (0.0067)    0.683 -0.013 (0.0070)
               310   90    0.591 (0.0191)    0.620  0.044 (0.0081)    0.525  0.110 (0.0060)
               330   91    0.519 (0.0293)    0.570  0.075 (0.0096)    0.406  0.188 (0.0060)
 CaII triplet  858   92    0.308 (0.0977)    0.499  0.286 (0.0164)   -0.121  0.715 (0.0026)
 WIRE  Johnson V+R   93    0.436 (0.0806)    0.605  0.254 (0.0044)    0.056  0.634 (0.0080)
               LUT   94    0.667 (0.0094)    0.682  0.023 (0.0032)    0.632  0.058 (0.0022)
              TESS   95    0.366 (0.0852)    0.537  0.256 (0.0110)   -0.019  0.641 (0.0014)


          Teff = 8500 K,  log g = 2.0,  [M/H] = -5.0

 bolometric           0    0.588 (0.0319)    0.649  0.091 (0.0057)    0.451  0.228 (0.0022)
 Stromgren      u     1    0.461 (0.0373)    0.530  0.104 (0.0092)    0.305  0.259 (0.0042)
                v     2    0.593 (0.0810)    0.777  0.276 (0.0113)    0.178  0.691 (0.0243)
                b     3    0.549 (0.0846)    0.736  0.281 (0.0065)    0.126  0.704 (0.0196)
                y     4    0.479 (0.0852)    0.662  0.274 (0.0020)    0.069  0.684 (0.0122)
 Johnson        U     5    0.545 (0.0653)    0.689  0.216 (0.0040)    0.221  0.540 (0.0140)
                B     6    0.572 (0.0823)    0.757  0.277 (0.0090)    0.156  0.694 (0.0220)
                V     7    0.481 (0.0850)    0.663  0.273 (0.0019)    0.071  0.683 (0.0125)
                R     8    0.389 (0.0806)    0.554  0.248 (0.0078)    0.017  0.619 (0.0042)
                I     9    0.304 (0.0829)    0.467  0.244 (0.0136)   -0.062  0.610 (0.0019)
                J    10    0.244 (0.0793)    0.395  0.227 (0.0165)   -0.097  0.568 (0.0057)
                K    11    0.152 (0.0610)    0.262  0.165 (0.0177)   -0.095  0.412 (0.0099)
                L    12    0.103 (0.0447)    0.181  0.116 (0.0150)   -0.072  0.291 (0.0096)
                M    13    0.077 (0.0350)    0.137  0.089 (0.0127)   -0.057  0.223 (0.0085)
                N    14    0.043 (0.0208)    0.077  0.051 (0.0084)   -0.034  0.127 (0.0061)
 Cousins        Rc   15    0.408 (0.0818)    0.577  0.254 (0.0066)    0.027  0.634 (0.0057)
                Ic   16    0.318 (0.0758)    0.467  0.224 (0.0121)   -0.019  0.560 (0.0016)
 Bessell        UX   17    0.540 (0.0619)    0.675  0.203 (0.0029)    0.235  0.507 (0.0121)
 Bessell        BX   18    0.571 (0.0824)    0.756  0.278 (0.0088)    0.154  0.694 (0.0218)
 Bessell        B    19    0.572 (0.0823)    0.757  0.277 (0.0090)    0.156  0.694 (0.0220)
 Bessell        V    20    0.480 (0.0850)    0.662  0.273 (0.0019)    0.071  0.683 (0.0124)
 Bessell        R    21    0.407 (0.0818)    0.576  0.254 (0.0066)    0.027  0.634 (0.0057)
 Bessell        I    22    0.313 (0.0781)    0.467  0.231 (0.0127)   -0.033  0.577 (0.0017)
 Tycho         TyB   23    0.582 (0.0811)    0.765  0.275 (0.0099)    0.170  0.687 (0.0228)
               TyV   24    0.496 (0.0850)    0.680  0.275 (0.0020)    0.083  0.688 (0.0139)
 Hipparchos    HIP   25    0.527 (0.0827)    0.709  0.273 (0.0046)    0.118  0.682 (0.0172)
 KEPLER              26    0.459 (0.0828)    0.636  0.264 (0.0025)    0.063  0.661 (0.0108)
 COROT SIS           27    0.469 (0.0824)    0.645  0.264 (0.0019)    0.072  0.661 (0.0118)
 COROT EXO           28    0.464 (0.0824)    0.640  0.264 (0.0021)    0.068  0.659 (0.0114)
 Geneva         U    29    0.477 (0.0398)    0.554  0.114 (0.0080)    0.306  0.285 (0.0025)
                B    30    0.583 (0.0812)    0.766  0.275 (0.0100)    0.169  0.689 (0.0230)
                B1   31    0.594 (0.0796)    0.775  0.272 (0.0112)    0.187  0.679 (0.0240)
                B2   32    0.564 (0.0835)    0.751  0.280 (0.0081)    0.144  0.700 (0.0212)
                V    33    0.481 (0.0851)    0.663  0.273 (0.0019)    0.071  0.683 (0.0124)
                V1   34    0.486 (0.0852)    0.669  0.275 (0.0018)    0.074  0.687 (0.0129)
                G    35    0.453 (0.0845)    0.631  0.267 (0.0036)    0.051  0.669 (0.0096)
 Vilnius        U    36    0.474 (0.0356)    0.539  0.098 (0.0090)    0.326  0.246 (0.0042)
                P    37    0.551 (0.0715)    0.710  0.238 (0.0055)    0.195  0.594 (0.0164)
                X    38    0.597 (0.0803)    0.780  0.274 (0.0117)    0.185  0.686 (0.0246)
                Y    39    0.549 (0.0846)    0.737  0.282 (0.0066)    0.127  0.704 (0.0197)
                Z    40    0.505 (0.0854)    0.690  0.278 (0.0025)    0.088  0.694 (0.0149)
                V    41    0.481 (0.0853)    0.664  0.274 (0.0019)    0.070  0.685 (0.0124)
                S    42    0.390 (0.0807)    0.555  0.248 (0.0079)    0.018  0.620 (0.0041)
 Milone         iz   43    0.283 (0.0866)    0.452  0.253 (0.0151)   -0.096  0.633 (0.0030)
                iJ   44    0.236 (0.0781)    0.384  0.222 (0.0168)   -0.097  0.556 (0.0062)
                iH   45    0.183 (0.0745)    0.319  0.204 (0.0200)   -0.123  0.509 (0.0104)
                iK   46    0.149 (0.0597)    0.256  0.161 (0.0174)   -0.093  0.402 (0.0098)
 YMS94         iz    47    0.284 (0.0866)    0.452  0.253 (0.0151)   -0.096  0.633 (0.0030)
               iJ    48    0.236 (0.0781)    0.384  0.222 (0.0168)   -0.097  0.556 (0.0062)
               iH    49    0.183 (0.0745)    0.318  0.204 (0.0200)   -0.122  0.509 (0.0104)
               iK    50    0.148 (0.0596)    0.256  0.161 (0.0174)   -0.093  0.402 (0.0098)
               iL    51    0.095 (0.0424)    0.168  0.110 (0.0147)   -0.069  0.274 (0.0096)
               iLp   52    0.090 (0.0406)    0.159  0.104 (0.0145)   -0.066  0.259 (0.0096)
               iM    53    0.074 (0.0354)    0.133  0.089 (0.0132)   -0.060  0.223 (0.0090)
               in    54    0.043 (0.0212)    0.078  0.052 (0.0084)   -0.035  0.131 (0.0060)
               iN    55    0.039 (0.0192)    0.070  0.046 (0.0080)   -0.030  0.116 (0.0059)
 Sloan DSS      u    56    0.518 (0.0530)    0.630  0.168 (0.0022)    0.266  0.420 (0.0064)
                g    57    0.543 (0.0839)    0.728  0.278 (0.0059)    0.125  0.696 (0.0189)
                r    58    0.423 (0.0828)    0.595  0.259 (0.0056)    0.035  0.646 (0.0069)
